"""sitename"""	"""siteengname"""	SO2 Average 	Maximum	X	Y	Xtwd	Ytwd	Months 
??	Linyuan	2.33	6.4	120.41175	22.4795	189467.6618	2486767.36	3
??	Nanzi	2.16	5.8	120.328289	22.733667	181005.9027	2514948.11	3
??	Zuoying	2.46	7.2	120.292917	22.674861	177341.558	2508453.136	3
??	Qianjin	3	8.7	120.2867611	22.63390278	176687.2193	2503920.683	3
??	Qianzhen	2.88	14.1	120.3083336	22.6044507	178889.5598	22.6044507	3
??	Xiaogang	1.81	5.5	120.337736	22.565833	181893.5435	2496358.931	3
??	Pingtung	2.94	12.9	120.488033	22.673081	197391.0605	2508173.804	3
??	Chaozhou	2.47	8.07	120.561175	22.523108	204858.2576	2491543.305	3
??	Hengchun	2.25	19.2	120.788928	21.958069	228199.9944	2428929.591	3
??	Taitung	2.79	9.6	121.15045	22.755358	265450.6396	2517201.492	3
??	Hualien	3.08	12.8	121.599769	23.971306	311035.7319	2651975.171	3
??	Yangming	4.64	35.4	121.529583	25.182722	303377.2655	2786121.42	3
??	Yilan	3.25	23	121.746394	24.747917	325495.3942	2738062.753	3
??	Dongshan	2.5	10.4	121.792928	24.632203	330276.4487	2725272.259	3
??	Sanchong	2.63	14.3	121.493806	25.072611	299815.8397	2773911.122	3
??	Zhongli	3.04	16.2	121.221667	24.953278	272383.556	2760620.856	3
??	Zhushan	2.29	12.3	120.677306	23.756389	217106.971	2628081.672	3
??	Yonghe	0.59	3.5	121.516306	25.017	302109.2082	2767759.828	3
??	Fuxing	1.85	9.4	120.312017	22.608711	179270.4418	2501118.895	3
??	Puli	2.18	15.3	120.967903	23.968842	246733.614	2651572.87	3
??	Matsu	1.45	4.4	119.9314938	26.15188416	143168.4096	2893811.43	3
??	Kinmen	1.2	5.3	118.312256	24.432133	-22600.7287	2705527.895	3
??	Magong	1.12	2.1	119.566158	23.569031	103626.4632	2608028.345	3
??	Guanshan	1.1	2	121.161933	23.045083	266594.619	2549284.521	3
??	Mailiao	1.58	4.6	120.251825	23.753506	173733.7193	2627925.665	3
???	FugueiCape	2.46	9.7	121.5365689	25.29681695	173733.7193	2627925.665	3
??	Dacheng	1.65	5.6	120.2696417	23.85493056	175607.7527	2639149.039	3
??	Keelung	1.56	5.7	121.760056	25.129167	326641.0947	2780300.361	4
??	Xizhi	1.41	4.8	121.64081	25.06624	314649.5064	2773267.652	4
??	Wanli	1.56	6.4	121.689881	25.179667	319536.0581	2785856.183	4
??	Xindian	1.92	16.9	121.537778	24.977222	304293.8287	2763362.251	4
??	Tucheng	2.19	6.3	121.451861	24.982528	295617.6015	2763918.33	4
??	Banqiao	1.68	6.1	121.458667	25.012972	296293.3026	2767292.737	4
??	Xinzhuang	1.32	4.9	121.4325	25.037972	293643.389	2770053.158	4
??	Cailiao	1.99	19.5	121.481028	25.06895	298528.2	2773500.962	4
??	Linkou	1.93	6.4	121.3654898	25.07798949	286869.3782	2774465.731	4
??	Tamsui	1.67	6.4	121.449239	25.1645	295285.9191	2784073.597	4
??	Shilin	2.12	9.9	121.5166636	25.10334003	302108.7712	2777323.471	4
??	Zhongshan	1.72	5.4	121.526528	25.062361	303121.3595	2772788.228	4
??	Wanhua	2.28	6.24	121.507972	25.046503	301255.8092	2771024.55	4
??	Guting	1.8	6.5	121.529556	25.020608	303444.953	2768164.63	4
??	Songshan	1.54	4.7	121.578611	25.05	308381.9745	2771440.514	4
??	Datong	1.98	6.6	121.5134207	25.06331455	301798.5412	2772888.765	4
??	Taoyuan	1.52	7.4	121.3050053	24.9947107	280788.6456	2765226.36	4
??	Dayuan	1.81	4.9	121.2025147	25.06100357	270431.7556	2772549.774	4
??	Guanyin	1.75	7.1	121.0828309	25.03556747	258358.544	2769719.669	4
??	Pingzhen	0.44	4.6	121.203986	24.952786	270598.2355	2760563.563	4
??	Longtan	2.85	12.4	121.2164577	24.86400048	271873.2622	2750731.543	4
??	Hukou	3.48	24.5	121.0388689	24.90009696	253926.5933	2754712.78	4
??	Zhudong	2.27	4.8	121.0889549	24.74091408	258997.847	2737084.183	4
??	Hsinchu	2.85	9.8	120.9723675	24.8056356	247206.4037	2744249.997	4
??	Toufen	2.28	6.1	120.8986929	24.69690679	239749.1152	2732210.903	4
??	Miaoli	1.96	5.8	120.8201147	24.56499183	231778.9513	2717608.589	4
